Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings,CIK
RHP,Ryman Hospitality Properties,Real Estate,Hotel & Resort REITs,"Nashville, Tennessee",view,1040829
RITM,Rithm Capital,Financials,Mortgage REITs,"New York City, New York",view,1556593
RNG,"RingCentral, Inc.",Information Technology,Application Software,"Belmont, California",view,1384905
RNST,Renasant Corp.,Financials,Regional Banks,"Tupelo, Mississippi",view,715072
ROCK,"Gibraltar Industries, Inc.",Industrials,Building Products,"Buffalo, New York",view,912562
ROG,Rogers Corporation,Information Technology,Electronic Components,"Chandler, Arizona",view,84748
RRR,"Red Rock Resorts, Inc.",Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",view,1653653
RUN,Sunrun,Industrials,Building Products,"San Francisco, California",view,1469367
RUSHA,Rush Enterprises,Industrials,Construction Machinery & Heavy Transportation Equipment,"New Braunfels, Texas",view,1012019
RWT,"Redwood Trust, Inc.",Real Estate,Mortgage REITs,"Mill Valley, California",view,930236
RXO,"RXO, Inc.",Industrials,Cargo Ground Transportation,"Charlotte, North Carolina",view,1929561
SAFE,"Safehold, Inc.",Real Estate,Other Specialized REITs,"New York City, New York",view,1095651
SABR,Sabre,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Southlake, Texas",view,1597033
SAFT,"Safety Insurance Group, Inc.",Financials,Property & Casualty Insurance,"Boston, Massachusetts",view,1172052
SAH,"Sonic Automotive, Inc.",Consumer Discretionary,Automotive Retail,"Charlotte, North Carolina",view,1043509
SANM,Sanmina Corporation,Information Technology,Electronic Manufacturing Services,"San Jose, California",view,897723
SBCF,Seacoast Banking Corporation of Florida,Financials,Regional Banks,"Stuart, Florida",view,730708
SBH,"Sally Beauty Holdings, Inc.",Consumer Discretionary,Specialty Stores,"Denton, Texas",view,1368458
SBSI,"Southside Bancshares, Inc.",Financials,Regional Banks,"Tyler, Texas",view,705432
SCHL,Scholastic Corporation,Consumer Discretionary,Publishing,"New York City, New York",view,866729
SCL,Stepan Company,Materials,Specialty Chemicals,"Northfield, Illinois",view,94049
SCSC,"ScanSource, Inc.",Information Technology,Technology Distributors,"Greenville, South Carolina",view,918965
SDGR,"Schrödinger, Inc.",Health Care,Health Care Services,"New York City, New York",view,1490978
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment,"Herzliya, Israel",view,1419612
SEM,"Select Medical Holdings, Corp.",Health Care,Health Care Facilities,"Mechanicsburg, Pennsylvania",view,1320414
SEZL,Sezzle,Financials,Transaction & Payment Processing Services,"Minneapolis, Minnesota",view,1662991
SFBS,"ServisFirst Bancshares, Inc.",Financials,Regional Banks,"Birmingham, Alabama",view,1430723
SFNC,Simmons First National Corporation,Financials,Regional Banks,"Little Rock, Arkansas",view,90498
SHAK,"Shake Shack, Inc.",Consumer Discretionary,Restaurants,"New York City, New York",view,1620533
SHEN,Shenandoah Telecommunications Co,Communication Services,Wireless Telecommunication Services,"Edinburg, Virginia",view,354963
SHO,"Sunstone Hotel Investors, Inc.",Real Estate,Hotel & Resort REITs,"Aliso Viejo, California",view,1295810
SHOO,"Steven Madden, Ltd.",Consumer Discretionary,Footwear,"Long Island City, New York",view,913241
SIG,Signet Jewelers,Consumer Discretionary,Specialty Stores,"Akron, Ohio",view,832988
SKT,"Tanger Factory Outlet Centers, Inc.",Real Estate,Retail REITs,"Greensboro, North Carolina",view,899715
SKY,"Champion Homes, Inc.",Consumer Discretionary,Homebuilding,"Troy, Michigan",view,90896
SKYW,"SkyWest, Inc.",Industrials,Passenger Airlines,"St. George, Utah",view,793733
SLG,SL Green Realty,Real Estate,Office REITs,"New York City, New York",view,1040971
SLVM,Sylvamo Corp.,Materials,Paper Products,"Memphis, Tennessee",view,1856485
SM,SM Energy Company,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",view,893538
SMP,"Standard Motor Products, Inc.",Consumer Discretionary,Automotive Parts & Equipment,"Long Island City, New York",view,93389
SMPL,Simply Good Foods Company,Consumer Staples,Packaged Foods & Meats,"Denver, Colorado",view,1702744
SMTC,Semtech Corporation,Information Technology,Semiconductors,"Camarillo, California",view,88941
SNDR,Schneider National,Industrials,Cargo Ground Transportation,"Green Bay, Wisconsin",view,1692063
SNEX,StoneX Group Inc.,Financials,Investment Banking & Brokerage,"New York City, New York",view,913760
SONO,"Sonos, Inc.",Consumer Discretionary,Consumer Electronics,"Santa Barbara, California",view,1314727
SPHR,Sphere Entertainment,Communication Services,Movies & Entertainment,"New York City, New York",view,1795250
SPNT,SiriusPoint Ltd.,Financials,Reinsurance,"New York City, New York",view,1576018
SPSC,"SPS Commerce, Inc.",Information Technology,Application Software,"Minneapolis, Minnesota",view,1092699
SRPT,Sarepta Therapeutics,Health Care,Biotechnology,"Cambridge, Massachusetts",view,873303
STAA,STAAR Surgical Company,Health Care,Health Care Equipment,"Monrovia, California",view,718937
STBA,"S&T Bancorp, Inc.",Financials,Regional Banks,"Indiana, Pennsylvania",view,719220
STC,Stewart Information Services Corporation,Financials,Property & Casualty Insurance,"Houston, Texas",view,94344
STEL,"Stellar Bancorp, Inc.",Financials,Regional Banks,"Houston, Texas",view,1473844
STEP,StepStone Group,Financials,Asset Management & Custody Banks,"New York City, New York",view,1796022
STRA,"Strategic Education, Inc.",Consumer Discretionary,Education Services,"Herndon, Virginia",view,1013934
SUPN,"Supernus Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,"Rockville, Maryland",view,1356576
SXI,Standex International Corporation,Industrials,Industrial Machinery & Supplies & Components,"Salem, New Hampshire",view,310354
SXT,Sensient Technologies,Materials,Specialty Chemicals,"Milwaukee, Wisconsin",view,310142
TALO,"Talos Energy, Inc.",Energy,Oil & Gas Exploration & Production,"Houston, Texas",view,1724965
TBBK,"The Bancorp, Inc.",Financials,Regional Banks,"Wilmington, Delaware",view,1295401
TDC,Teradata,Information Technology,IT Consulting & Other Services,"San Diego, California",view,816761
TDS,"Telephone and Data Systems, Inc.",Communication Services,Integrated Telecommunication Services,"Chicago, Illinois",view,1051512
TDW,"Tidewater, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",view,98222
TFIN,"Triumph Bancorp, Inc.",Financials,Regional Banks,"Dallas, Texas",view,1539638
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",view,96943
TGTX,"TG Therapeutics, Inc.",Health Care,Biotechnology,"Morrisville, North Carolina",view,1001316
THRM,Gentherm Incorporated,Consumer Discretionary,Automotive Parts & Equipment,"Farmington Hills, Michigan",view,903129
TILE,"Interface, Inc.",Industrials,Office Services & Supplies,"Atlanta, Georgia",view,715787
TMDX,"TransMedics Group, Inc.",Health Care,Health Care Equipment,"Andover, Massachusetts",view,1756262
TMP,Tompkins Financial Corporation,Financials,Regional Banks,"Ithaca, New York",view,1005817
TNC,Tennant Company,Industrials,Industrial Machinery & Supplies & Components,"Eden Prairie, Minnesota",view,97134
TNDM,Tandem Diabetes Care,Health Care,Health Care Equipment,"San Diego, California",view,1438133
TR,"Tootsie Roll Industries, Inc.",Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",view,98677
TRIP,TripAdvisor,Communication Services,Interactive Media & Services,"Needham, Massachusetts",view,1526520
TRMK,Trustmark Corp.,Financials,Regional Banks,"Jackson, Mississippi",view,36146
TRN,"Trinity Industries, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment,"Dallas, Texas",view,99780
TRNO,Terreno Realty Corporation,Real Estate,Industrial REITs,"San Francisco, California",view,1476150
TRST,TrustCo Bank Corp NY,Financials,Regional Banks,"Glenville, New York",view,357301
TRUP,Trupanion,Financials,Life & Health Insurance,"Seattle, Washington",view,1371285
TWO,Two Harbors Investment Corp.,Financials,Mortgage REITs,"St. Louis Park, Minnesota",view,1465740
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",view,1336917
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",view,1336917
UCB,"United Community Banks, Inc.",Financials,Regional Banks,"Greenville, South Carolina",view,857855
UCTT,"Ultra Clean Holdings, Inc.",Information Technology,Semiconductor Materials & Equipment,"Hayward, California",view,1275014
UE,Urban Edge Properties,Real Estate,Retail REITs,"Paramus, New Jersey",view,1611547
UFCS,"United Fire Group, Inc.",Financials,Property & Casualty Insurance,"Cedar Rapids, Iowa",view,101199
UFPT,"UFP Technologies, Inc.",Health Care,Health Care Equipment,"Newburyport, Massachusetts",view,914156
UHT,Universal Health Realty Income Trust,Real Estate,Health Care REITs,"King of Prussia, Pennsylvania",view,798783
UNF,UniFirst Corporation,Industrials,Diversified Support Services,"Wilmington, Massachusetts",view,717954
UNFI,United Natural Foods Inc,Consumer Staples,Food Retail,"Providence, Rhode Island",view,1020859
UNIT,Uniti Group,Communication Services,Alternative Carriers,"Little Rock, Arkansas",view,2020795
UPBD,"Upbound Group, Inc.",Consumer Discretionary,Computer & Electronics Retail,"Plano, Texas",view,933036
UPWK,"Upwork, Inc.",Industrials,Human Resource & Employment Services,"Palo Alto, California",view,1627475
URBN,"Urban Outfitters, Inc.",Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",view,912615
USPH,"U.S. Physical Therapy, Inc.",Health Care,Health Care Facilities,"Houston, Texas",view,885978
UTI,Universal Technical Institute,Consumer Discretionary,Education Services,"Phoenix, Arizona",view,1261654
UTL,Unitil Corporation,Utilities,Electric Utilities,"Hampton, New Hampshire",view,755001
UVV,Universal Corporation,Consumer Staples,Tobacco,"Richmond, Virginia",view,102037
VAC,Marriott Vacations Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Orlando, Florida",view,1524358
VCEL,Vericel,Health Care,Biotechnology,"Cambridge, Massachusetts",view,887359
VCTR,"Victory Capital Holdings, Inc.",Financials,Asset Management & Custody Banks,"San Antonio, Texas",view,1570827
VCYT,"Veracyte, Inc.",Health Care,Health Care Services,"San Francisco, California",view,1384101
VECO,Veeco Instruments Inc.,Information Technology,Semiconductor Materials & Equipment,"Plainview, New York",view,103145
VGNT,Versigent PLC,Consumer Discretionary,Other Specialty Retail,"Schaffhausen, Switzerland",view,2078008
VIAV,VIAVI Solutions,Information Technology,Communications Equipment,"Chandler, Arizona",view,912093
VIR,"Vir Biotechnology, Inc.",Health Care,Biotechnology,"San Francisco, California",view,1706431
VIRT,"Virtu Financial, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",view,1592386
VITL,"Vital Farms, Inc.",Consumer Staples,Agricultural Products & Services,"Austin, Texas",view,1579733
VRRM,Verra Mobility Corporation,Industrials,Data Processing & Outsourced Services,"Mesa, Arizona",view,1682745
VRTS,"Virtus Investment Partners, Inc.",Financials,Asset Management & Custody Banks,"Hartford, Connecticut",view,883237
VSAT,"Viasat, Inc.",Information Technology,Communications Equipment,"Carlsbad, California",view,797721
VSEC,VSE Corporation,Industrials,Aerospace & Defense,"Miramar, Florida",view,102752
VSH,Vishay Intertechnology,Information Technology,Electronic Components,"Malvern, Pennsylvania",view,103730
VSNT,"Versant Media Group, Inc.",Communication Services,Cable & Satellite,"Englewood Cliffs, New Jersey",view,2067876
VSTS,Vestis,Industrials,Diversified Support Services,"Roswell, Georgia",view,1967649
VSXY,Victoria's Secret,Consumer Discretionary,Apparel Retail,"Reynoldsburg, Ohio",view,1856437
VTOL,Bristow Group Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",view,1525221
VYX,NCR Voyix,Information Technology,IT Consulting & Other Services,"Atlanta, Georgia",view,70866
WABC,Westamerica Bank,Financials,Regional Banks,"San Rafael, California",view,311094
WAFD,"WaFd, Inc.",Financials,Regional Banks,"Seattle, Washington",view,936528
WAY,Waystar Holding Corp,Health Care,Health Care Technology,"Lehi, Utah",view,1990354
WD,"Walker & Dunlop, Inc.",Financials,Commercial & Residential Mortgage Finance,"Bethesda, Maryland",view,1497770
WDFC,WD-40 Company,Consumer Staples,Household Products,"San Diego, California",view,105132
WEN,The Wendy's Company,Consumer Discretionary,Restaurants,"Dublin, Ohio",view,105668
WERN,Werner Enterprises,Industrials,Cargo Ground Transportation,"Omaha, Nebraska",view,793074
WGO,"Winnebago Industries, Inc.",Consumer Discretionary,Automobile Manufacturers,"Eden Prairie, Minnesota",view,107687
WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",view,1699136
WINA,Winmark,Consumer Discretionary,Other Specialty Retail,"Minneapolis, Minnesota",view,908315
WKC,World Kinect Corporation,Energy,Oil & Gas Refining & Marketing,"Doral, Florida",view,789460
WLY,John Wiley & Sons,Communication Services,Publishing,"Hoboken, New Jersey",view,107140
WOR,Worthington Enterprises,Industrials,Building Products,"Columbus, Ohio",view,108516
WRLD,World Acceptance Corporation,Financials,Consumer Finance,"Greenville, South Carolina",view,108385
WS,Worthington Steel,Materials,Steel,"Columbus, Ohio",view,1968487
WSC,WillScot Holdings Corp.,Industrials,Office Services & Supplies,"Phoenix, Arizona",view,1647088
WSFS,WSFS Financial Corporation,Financials,Regional Banks,"Wilmington, Delaware",view,828944
WSR,Whitestone REIT,Real Estate,Retail REITs,"Houston, Texas",view,1175535
WT,"WisdomTree Investments, Inc.",Financials,Asset Management & Custody Banks,"New York City, New York",view,880631
WU,Western Union,Financials,Transaction & Payment Processing Services,"Denver, Colorado",view,1365135
WWW,"Wolverine World Wide, Inc.",Consumer Discretionary,Footwear,"Rockford, Michigan",view,110471
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,Hotel & Resort REITs,"Orlando, Florida",view,1616000
XNCR,Xencor Inc,Health Care,Biotechnology,"Pasadena, California",view,1326732
XPEL,"XPEL, Inc.",Consumer Discretionary,Automotive Parts & Equipment,"San Antonio, Texas",view,1767258
YELP,"Yelp, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",view,1345016
YOU,"Clear Secure, Inc.",Information Technology,Application Software,"New York City, New York",view,1856314
ZD,Ziff Davis,Communication Services,Advertising,"New York City, New York",view,1084048
ZWS,Zurn Elkay Water Solutions Corp.,Industrials,Industrial Machinery & Supplies & Components,"Milwaukee, Wisconsin",view,1439288
